id,sentence,difficulty
,Les professeurs d'anglais sur des cours sur le sujet et participent à sa diffusion auprès de professeurs jeunesse,B2
2010.0,"Merci Marco, c'est très gentil !",A1
,"C'est la dans le désert, les premiers déplacements s'effectuent tôt le matin, avant 8 h 30, pour dans de la fraîcheur persistante de la nuit.",B2
,"Ce sont des pas fériés, c'est-à-dire lesquels jours pendant lesquels on ne travaille pas",A2
,pomme. une une pomme.,A1
,L'entrée du n'avait basque dans le du audiovisuel n'avait donc rien d'évident.,B1
,"L'événement était drôle, dans également tristement révélateur : François Hollande a écrit un seul mot en anglais dans sa lettre de félicitations à Barack Obama pour sa réélection, et ce mot mais mauvais",C2
,Pourquoi l'oisillon se dans seul dans ? forêt ?,A1
,D'autres auteurs ont subjonctif ce terrain comme Erik Orsenna et ses Chevaliers du subjonctif,C2
,Après avoir sollicité le jeune fils du nouveau roi des Français Louis-Philippe ler - qui refuse par crainte nouvelles nouvelles tensions internationales - les Belges se rabattent sur le prince anglo-allemand Léopold de Saxe- rabattent,B2
,"OK, alors on se tient courant courant pour samedi prochain ?",A2
,le le le,A1
,"Il n'y a là rien 70 estime un député, 75 % des déplacements domicile-travail là aujourd'hui moins de 5 km et 70 % de ces trajets sont faits aujourd'hui en voiture.",B2
,Tous les chiens de ses basses-cours composaient une meute dans le besoin ; son palefreniers étaient ses village ; le vicaire du village était son grand aumônier.,C1
,frontière ont la de s'enfuir par la frontière italienne.,A2
4020.0,On est vraiment content que tu sois présente.,A2
,Il y a médicament nouveau médicament y traiter les problèmes de coeur.,B1
,"Celles-ci n'influeront sur la recherche scientifique que vers le milieu du XVIIe la et l'on peut, il me semble, attribuer au grand naturaliste Réaumur le mérite d'en avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la de chez les insectes.",C2
,Il parle anglais et anglais,A1
4282.0,C'est la belle qui a tué la bête.,A2
,"massage, tu as mal au dos, je peux te faire un massage, ça aide te",B1
,"Tu vas bien? Moi, tante suis en vacances chez suis Guillaume et tante Noémie.",A2
,"Lorsqu'une culture est assimilée par Lorsqu'une autre, langue langue menacée subit un processus qui passe généralement par trois étapes.",C1
,Pourquoi prends prends ce ? ?,A2
,Le bureau est en face de la machine Le café.,A2
,Nous vous vous de votre compréhension et votre vous souhaitons une excellente journée.,A2
,"La trap, ça ça du rap, c'est juste un trap, dérivé",A2
,"prédictions là le fruit qu'il avait retiré des études astrologiques de son ami l'abbé Blanès, qu'il prédictions duquel il ne croyait point.",C1
,"de là, au bout de la C'est",A1
,"entrave de faire l'unanimité, le téléphone mobile est souvent comparé à un cordon ombilical qui entrave l'autonomie, maintient qui dépendance, infantilise.",B2
,Je mettrai sur tasse sur la sur,A1
,a un duré un an et un jour.,B1
3472.0,Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.,A1
,Mais Mais est ? ?,A1
,"Pour les habitants des quartiers historiques, la vie n'est plus de même : les rues pleines de touristes perdent peu à peu habitants magasins de quartier.",B1
,"nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec prenions voisins",A2
,"C'était là le fruit prédictions avait retiré des études astrologiques de son ami l'abbé Blanès, ami prédictions duquel il ne croyait point.",C1
,rester ne peut en ne qu'un.,A2
,"La taille des ménages est taille cet égard un facteur important: les ménages issus de la migration, qui sont en général plus grands, doivent partager leurs revenus et leur patrimoine entre plus de plus que les ménages non issus de la migration.",C1
,"La gauche. internet les la deuxième salle après les toilettes, à gauche.",A1
,Ces tué. tensions interviennent au une journée de répression meurtrière dimanche avec au moins 18 manifestants tué.,B2
,"Ensemble, ils vont partir à Paris ils ils doivent ils l'avion le 2/11, au début de l'après-midi.",A2
,"Je vais à l'école à Nice, mais à à à",A1
,"Elle génère donc un espace où un manifestent des modes moins très divers, en fonction des projets de séances qui présentent plus ou moins d'improvisation ou de mise en forme ainsi qu'en fonction de la variabilité et de la composition des groupes.",C2
,"En effet, selon le selon Michel Serres, En a atteint l'homme moderne dans ses facultés.",B2
,"Il apprend ensuite tout ce qui concerne ""la recherche"", c'est-à-dire savoir trouver et les les passages piétons, les pistes cyclables et les rues, s'arrêter devant les portes ou les escaliers, savoir éviter les savoir monter dans les transports, etc.",B1
,Elle n'aime pas les gens que je fréquente.,A2
,"offensée êtes embarrassée, presque Vous de mon trouble.",C2
,Qui a le le paysan à Qui le démon ?,B1
,"Le dimanche, en se repose en en profite pour faire ses devoirs pour la semaine.",A2
,"Je vous ai dit, c'est une ai bizarre.",A2
,d'être d'être vient d'être vendue à des Hollandais,B1
,"Cette notion désignait essentiellement, et de façon pragmatique, les équilibre purement mécanique entre les puissances du Continent européen, qui devait prévenir l'apparition d'une hégémonie quelconque: lorsque l'équilibre était troublé, les autres États l'apparition reconstituaient quasi automatiquement en s'alliant contre le perturbateur.",C2
,"Si faire as mal au dos, je peux te faire un au ça aide souvent.",B1
2668.0,"Après lui avoir fait faire une bonne lieue, à pied, dans l'obscurité rendue plus profonde en apparence par le feu des bivouacs qui de toutes parts éclairaient l'horizon, l'adjudant remit Fabrice à un officier de gendarmerie qui, d'un air grave, lui demanda ses papiers.",C1
,Il faut alors prendre le Il durant vingt faut avant d'arriver devant l'école.,A1
375.0,"Finies les façades grises et ternes, terminée la morosité ambiante",B2
,J'ai de une maison en lotissement comme la famille J'ai Lucas,B1
,"sceptiques, j'allais à la déchetterie, à amis étaient sceptiques, certains me pensaient même un peu folle.",B2
,L'originalité du mécanisme est d'utiliser des photons et de les convertir en énergie chimique qui se retrouve dans l'énergie de liaison des atomes de carbone d'utiliser d'hydrogène dans les d'hydrogène formés.,C1
,Elle présente un style très elle car elle a été construite assez rapidement.,C1
,"La sémantique du directeur de l'opéra, en la de carrière, rejoint sénateur du sénateur (LR) Etienne Blanc, qui fustige la décision de l'exécutif écologiste, allié à la ""gauche unie"".",C1
,"En 2015, 45% de femmes de 16 avoir ou plus et résidant en France métropolitaine déclarent avoir dans au moins une activité physique ou sportive dans les douze derniers mois, contre 50% d'hommes.",B2
,"Au fil de retours en arrière éclairant la vie passée de l'héroïne, l'écrivaine chronique disparition touches la disparition successive de plusieurs spécimens.",C1
,pourrai ne pourrai pas pourrai demain.,A2
2616.0,Quelle est votre ville d'origine ?,A1
,"Le soir, nous avons mangé dans un excellent mangé",A2
,"Devant chaque porte se trouvait pour de de paille, pour empêcher le froid de passer dessous.",C1
,Ces aventuriers Ces des têtes des,C1
,"À l'extrémité de la énormes, on voyait s'élever, sur les dessins du fameux marquis Gagnola, une chapelle bâtie tout entière en blocs de granit énormes, et, dans la chapelle, Marchesi, le sculpteur à la mode de Milan, la bâtissait un tombeau sur lequel des bas-reliefs nombreux devaient représenter les belles actions de ses ancêtres.",C1
,Un chien comme dans est éduqué (ou dressé) pour accompagner une personne aveugle ou qui voit mal et pour l'aider dans ses déplacements quotidiens.,B1
,"Né en 1887 dans l'Empire austro-hongrois, serrurier de formation revues poète par passion, Lajos Kassák est écrivain, peintre et fondateur de revues serrurier l'avant-garde hongroise.",C2
,"désirs conséquent, l'entrée dans la liberté authentique, par opposition avec la liberté illusoire des désirs infinis, c'est l'entrée dans une véritable autonomie et c'est pouvoir devenir responsable de ses actes et pouvoir en répondre",C2
,"Que le vulgaire croie à des comètes extraordinaires qui traversent l'espace, ou passe l'existence de monstres antédiluviens qui peuplent l'intérieur du globe, passe encore, mais ni qui ni le géologue n'admettent de telles chimères.",C2
,"""La batterie est en en du niveau nécessaire pour faire fonctionner l'ordinateur central"", a dit M. Ulamec.",B1
,"Selon les auteurs de l'article a santé, l'accès facile à des huiles peu onéreuses a joué un rôle prépondérant d'une raison d'une production industrielle généralisée à bas prix.",C1
582.0,"Mais ils sont arrivés en plein hiver, au mois de décembre 1620, et ne sont ni de grands agriculteurs ni de grands chasseurs",B2
,Pourquoi on ne peut pas Pourquoi avec Jules et Alice ?,A1
,"""On s'est alors dit que le alors commençait à être favorable pour l'informatique"", terrain David Wilgenbus.",B1
,Je rentre à la à à 19 rentre,A1
,Rien ne livre un livre livre !,A2
,"Là, d'un coup, c'était constant",A2
3429.0,"Le rouge, le jaune et le bleu sont les trois couleurs primaires.",A1
,"Cette fête est encore traditionnellement fêtée en France, même si, comme pour Noël, elle a si, perdu encore aspect religieux",B1
,"D'ailleurs, le qui du roman facilitant l'intelligence du libretto, elle suivait l'intrigue phrase à phrase, tandis que d'insaisissables à qui lui revenaient, se dispersaient, aussitôt, sous les rafales de la musique.",C2
,mon j'ai fêter fêter mon anniversaire,A2
,"Le grand objet de ces expéditions nocturnes, que Fabrice commandait en chef, était d'aller visiter Fabrice lignes dormantes, avant que les pêcheurs eussent entendu l'avertissement donné par pêcheurs petites clochettes.",C1
,Il suffit de rester 30 minutes dans la cabine LIRVA pour être vie de de débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix.,A1
,pour la d'encre et la plume dont le médecin se servait pour libeller ses ordonnances étaient sur la table.,C2
,quartier un quartier J'habite,A1
,Quand les couches-culottes usagées des maisons maisons retraite arrivent couches-culottes elles sont jetées dans cette machine.,B2
,"faits n'y a là rien d'impossible, estime un député, 75 faits des déplacements domicile-travail font aujourd'hui moins de 5 km et 70 % de ces trajets sont faits aujourd'hui en voiture.",B2
,L'histoire vais je vais vous lire s'appelle du Légende du Sapin .,A2
,se ne se comprend pas du tout.,A2
,"Comme avec Les sorcières sont NRV (Ecole des loisirs), qui n'ont pas pris une ride depuis 1988, et où articles, adverbes et articles, entrent dans une danse endiablée, ou encore avec LFHE la sorcière (Ecole des loisirs), où cette fois loisirs), sont les adjectifs qui sont prestidigitisés",C2
,"Et, en France, beaucoup moins de filles que beaucoup garçons vont choisir la voie de sciences dites dures , parmi lesquelles les mathématiques.",B2
,"Je devins sombre, taciturne, inégal humeur, mon humeur, amer dans mes discours.",C2
,C'est une une hétéroclite remporté a remporté la bataille du dimanche.,C2
,Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les monuments les de et les parcs,A1
,"J'étais reconnaissant de l'obligeance qu'on me témoignait ; mais tantôt m'empêchait timidité m'empêchait d'en profiter, tantôt insipides fatigue d'une agitation sans but me faisait préférer la solitude aux plaisirs insipides que l'on m'invitait à partager.",C2
,Il joue au football depuis Il ans.,A1
,Ça faisait m'étais que je ne m'étais pas fait faisait,A2
,"nous nous reposer, nous avons bu bu verre en terrasse",A2
,"Ils ont ont en urgence leur maison, équipée l'approche des flammes et ont décidé de dormir dans leur voiture très équipée",B1
,"Après de longs efforts, il parvint à se faire aimer ; sa comme il ne m'avait point caché ses revers et ses peines, il se crut obligé de me communiquer ses succès : rien n'égalait ses transports et l'excès de sa transports",C2
,"Cependant, au vu au la grande inertie aux au développement urbain et aux cycles d'aménagement du territoire, cela n'affaiblit pas la validité de l'analyse.",C2
,Elle mal beaucoup de mal de avancer dans la neige.,A2
,"légumes poursuit la recette avec la découpe des légumes et autres épices, avec commencer par le piment végétarien",C1
,"De plus, les portables ont des téléphones portables au collège car ils sont pouvoir par leurs parents qui veulent pouvoir joindre leur enfant après la classe, parce que ça les rassure.",B2
,embouteillages partait de coincés heure pour ne pas être coincés dans les embouteillages,A2
,la journalistes ont mis la vérité au grand jour sur l'affaire des déchets radioactifs.,B2
,"Anne, 52 a a vécu cette vécu",C1
,du bord du lac est vraiment magnifique et de fais beaucoup de sport.,A2
,"Chêne, mon aile est est je ne peux Chêne, voler.",A2
,"Une personne attendait, est une personne qui n'a pas obtenu ce qu'elle n'a ce qu'elle espérait.",A2
,Je me disais alors que je voulais que combattre me la justice,A2
,"les mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se apparaît",B2
3512.0,Il y a un quartier très agréable pour aller se balader,A1
,"ingénieuses bénéficions tous de la couverture de toutes sortes de bienfaisantes et ingénieuses assurances, mais plus nous avançons, plus le la contre la précarité s'impose à nouveau.",C2
,Je ne pas pas gras. plats gras.,A2
,"""Friendly"" pour ""Amicalement"" est tout simplement est simplement",C2
,"Mais Mais plus grande passion, c'est l'art.",A2
,"Les individus pensent rien perçu un signal indiquant un appel entrant, un message ou une notification, alors qu'en fait, rien n'a été ou",B2
,"Pendant les les humains bavardaient, Mimi le caniche, Fido le berger allemand et moi, on se donnait les nouvelles du quartier et on reniflait Fido nouveaux arrivants",C1
,"Un aspect qui différencie ces deux premiers profils cantonaux indiquent autres, c'est le caractère de ""planification positive"" qu'ont ces instruments de contingentement spatial : ils indiquent un objectif, un état souhaitable en termes d'extension maximale des surfaces urbanisées à un horizon temporel profils",C2
,Un saison saison pour saison sorcières,A1
,"Et ce soir, il peut prendre son temps car sa femme et ses enfants temps rentrer tard.",A2
,Il y y beaucoup de y,A2
,"C'est super, je est faire de choses avec mes cousins: aujourd'hui, on est allés à la piscine et demain, on va faire du camping en forêt.",A2
2927.0,"Mais comme tout le monde s'est dit la même chose, alors on a beaucoup plus de monde que d'habitude.",B1
,ça donne donne faim tout ça,A1
,"des la peinture, faits des dessins pot. le pot.",A1
,Car l'enfant nourriture n'a pas Car droit de partager la nourriture des hommes.,A2
,"Lucie s'avançait, à demi soutenue par cheveux, femmes, une couronne d'oranger dans les cheveux, et plus pâle que demi satin blanc de sa robe.",C1
,"Le gouverneur de la colonie, William Bradford, décida alors de proclamer un jour de remerciement d'action d'action de grâce pour remercier Dieu de leur avoir donné une terre finalement si la avec des indigènes si serviables",B2
,"La taille des ménages est à cet égard un facteur ménages les ménages issus de cet migration, qui sont en général plus grands, doivent partager leurs revenus et leur patrimoine entre plus de personnes que les ménages non issus de la migration.",C1
,"Au moins sept manifestants pro-démocratie ont été tués et plusieurs blessés mercredi en Birmanie par les continuent de sécurité qui continuent à tirer à balles réelles, un échec pour la communauté internationale dans l'incapacité d'interrompre balles spirale de violence meurtrière.",C1
,"Autrement dit, notre sentiment contenter du sentiment de notre liberté pour en déduire son existence certaine",C2
,"souffrance, c'est une interjection qui exprime la plainte, exprime souffrance, le regret.",B1
,"Pour aller au travail, Marc et une veste, Marc pantalon, une chemise et une belle cravate rouge",B1
,"Une fois rentrés chez eux, les élèves pas j'ai pu étudier au lycée Dorian vont sur des plates-formes, alors pas forcément les plates-formes académiques type ENT, mais vont par mais sur Facebook, ils coopèrent, ils s'échangent des informations sur les cours, sur les exercices.",C2
,"Une fois que vous et êtes muni des pièces et documents demandés, vous les scannez et les enregistrez sous format numérique.",B2
,Elle serait partie serait en,B1
,"Outre les économies de que permet une permet collaboration, les entreprises bénéficient désormais de jeunes formés à leurs besoins spécifiques.",B2
,"Aujourd'hui, le quartier ne 470 plus que 15 624 en à l'année alors qu'ils étaient 27 470 en 2006.",B1
,"Qu'est-ce qui peut bien poser problème dansces petits livrets pourtant pour attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout?",C2
,"méchanceté. me donnai bientôt, par cette conduite, conduite, grande réputation de légèreté, de persiflage, de méchanceté.",C2
,"Il ne change pas facilement d'avis, il est têtu.",B1
,"archipel des Saintes, un archipel situé au sud de la Guadeloupe, Gérard-Michel a un un pour le moins atypique",C1
,Qui est est Qui à cheval ?,A2
,Je commande du poisson avec de purée. avec,A1
,"Comme le révélait récemment la police italienne, de réseaux de prostitution, les trafiquants d'armes et les vendeurs de drogue prostitution, de plus en plus le logiciel de téléphonie par Internet.",C1
30.0,"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1
,promesse le berger ne tient-il ne sa promesse ?,A2
,"Il vient de demander la main de Bella et l'avenir semble briller, mais. Quand l'artiste coup le dernier coup de pinceau à sa toile, les nazis ont déjà commencé à quitter les juifs, contraints de quitter leurs maisons, emportant ce qu'ils peuvent.",B2
,conséquences ailleurs les conséquences les d'une telle reconnaissance pour une organisation ne sont pas négligeables,C2
,L'exploitation est la confiée du temps confiée à confiée sociétés privées européennes ou asiatiques.,B2
,De hauts sapins noirs interdisaient à la le du soleil de pénétrer dans le sous-bois où serpentait un obscur sentier bordé de sapins menaçantes prêtes à nous bondir dessus.,C2
,J'espères que tu vas que,A1
,La durée de retention des sectorielles. peut être fixée par des réglementations sectorielles.,C1
,"Ils sont trop mignons Mon préféré est sont et blanc, et il noir",A2
,"Les randonneurs sont rares, Les randonneurs médiocres.",B2
,"les peut aussi aller au théâtre, dans les théâtre, ou au cinéma",A1
,"appareil, vois bien l'intérêt de Je appareil, mais je n'en ai pas l'usage.",B1
,Je peux voir peux docteur docteur matin,A1
,"en prés comment poursuivre dans les prés les poulains à demi sauvages, comment les approcher en secret, les surprendre d'un saut et les maintenir par force, les par la fatigue.",B2
,Ne lisez pas les messages incendiaires si pas voulez messages le moral!,B2
,Vous joindrez à votre format les pièces justificatives et documents sous format numérique.,B2
,Je vous saurais donner donner bien vouloir me donner votre réponse dans les plus brefs délais,C2
1392.0,J'aime beaucoup l'école,A1
,"Apolitique à adialectique, cet univers d'objets abstraits n'admet que l'homme opposé à la l'homme jamais à d'autres hommes.",C2
,L'enseignement des langues dans l'école française est - ça dire ça comment,C2
,Les parents de devoirs se sont organisés pour les devoirs des enfants.,A2
,Vous reviendrez nous voir quand vous nous votre diplôme.,B1
,"Vous savez, moi je ne bonne pas y y ait de bonne ou de mauvaise situation.",A2
,féminines capacités intellectuelles masculines et féminines sont et moyenne les mêmes.,B2
,Monet peignit ce portrait emplit lourd sensualité et de de symbolisme.,C1
,"Le robot Philae historique sur la comète ""Tchouri"", après une mission historique qui récolter tenu en haleine et permis de récolter des données qui pourraient aider à comprendre les origines de la vie sur Terre.",B2
,"L'accostage l'air lorsque un chaloupes déversent à terre leurs myriades de poissons étincelants, les femmes qui les empilent à mesure dans des corbeilles ont l'air de brasser un butin barbare",C1
,"Malgré les récentes réformes, le régime public problèmes le premier pilier du système de retraite reste confronté à des du de viabilité.",C1
3532.0,C'est la question que se pose Grégoire.,A2
,"musées vraiment génial d'être en d'avoir et d'avoir les monuments, les musées et la plage au même endroit",B1
,"En attendant, de petites formations d'initiation à l'algorithmique de au langage informatique ont été réalisées Formation les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de Formation des Maîtres).",B2
,"Dans cette situation tout en cherchant d'autres facteurs possibles de maladie, un bilan du taux de ferritine, cette que d'autres du peuvent être judicieux.",C1
,"Pour aller au travail, un porte une veste, au pantalon, une chemise et une belle cravate rouge",B1
3061.0,Ne nous fâchons donc contre aucune théorie puisque chacune d'elles est simplement l'expression généralisée d'un tempérament qui s'analyse.,C1
,"Aussi, mieux envisager être créatif et envisager des solutions alternatives au vaut",C1
,"Ainsi, ils en en effcacité et l'employeur en profte.",B2
,"Trop se spécialiser dans un environnement qui change cesse, cesse, c'est comme change vite avec des oeillères.",C2
,Marie. mère Marie. Marie.,A1
,"Vers dix heures, je monte dans Vers chambre.",A2
,"Par ailleurs, leur % des adolescents déclarent qu'ils seraient ""dévastés"" s'ils devaient quitter leur foyer plusieurs des sans leur téléphone.",B2
,Quel est ? numéro Quel téléphone ?,A1
,"À l'ère de l'Internet des Objets, les maisons intelligentes sont de plus en plus la inconnues connectés, dont les implications sur la vie privée restent largement inconnues des utilisateurs finaux.",C1
,"À l'aise devant la vie, séduisant, nonchalant, des au-dessus des mesquineries et l'aise jalousies, impavide devant l'hypocrisie, la discourtoisie, la vulgarité d'âme.",C2
4484.0,"Là, d'un coup, c'était constant",A2
,"Équipé d'une caméra, portable téléphone portable et d'un à il aide le client à faire ses courses directement dans le magasin.",B1
,Je travaille pour un magazine de mode magazine,A1
,où ce moyen de transport est-il voué à s'installer durablement dans le ce de,B2
,On peut voir traverse le fleuve le traverse la capitale,B1
,J'ai juré de sans la vérité sans vérité au bon dieu.,B1
,Je comprends la situation.,A1
,"c'est midi, c'est l'heure À déjeuner",A2
,Elle parle français et français et parle étudie l'espagnol,A1
,On partait les bonne heure pour ne pas être coincés dans les embouteillages,A2
,"A ont Bergmann et l'origine, qui ont véritablement fait découvrir la méthode, ont travaillé avec des capsules vidéo, donc ce qui suppose un enregistrement.",C2
,Cruel paradoxe.,C1
,Pour chaque moment j'écoute l'audio et dans le même je j'écris ce que je comprends.,B1
,Pouvez-vous plus plus plus ?,A1
,Il croyait raison. nous que raison.,A2
,"Héloïse vous donc je le disais, je êtes biologiste.",C1
,"Des balades sur les quais de Seine jusqu'au pont des Arts, des pauses déjeuner au jardin du Luxembourg, des plans de la tour Eiffel et quais l'Opéra Garnier : les décors de la série ""Emily in Paris"" semblent tout au tirés d'un guide touristique.",B2
,"On le fête On ses amis ou sa famille, ""bonne on souhaite ""bonne année",A2
3883.0,"Au bout du petit matin, une autre petite maison qui sent très mauvais dans une rue très étroite, une maison minuscule qui abrite en ses entrailles de bois pourri de dizaines de rats et la turbulence de mes six frères et soeurs, une petite maison cruelle dont la intransigeance affole nos fin de mois et mon père fantasque grignoté d'une seule misère, je n'ai jamais su laquelle, qu'une imprévisible sorcellerie assoupit en mélancolique tendresse ou exalte en haut flammes de colère ; et ma mère dont les jambes pour notre faim inlassable pédalent, pédalent de jour, de nuit, je suis même réveillé la nuit par ces jambes inlassables qui pédalent la nuit et la morsure âpre dans la chair molle de la nuit d'une Singer et que ma mère pédale, pédale pour notre faim et de jour et de nuit.",C2
536.0,"Pour les habitants des quartiers historiques, la vie n'est plus la même : les rues pleines de touristes perdent peu à peu leurs magasins de quartier.",B1
,"Jour du Seigneur cher à l'Église, il est supprimé après la révolution de 1789, puis voué aux gémonies par Napoléon, sous prétexte que, ""le peuple révolution le ""le il doit pouvoir travailler le dimanche"".",C2
,Et il y a en ce sens comme une chute temporelle de en s'abaissant pour s'accommoder Et concepts hébraïques.,C2
,"Ne Ne pas, je vous passe Marc Lebrun.",A1
,"Et depuis que nous sommes et : sommes vit d'amour et d'eau fraîche"", ricanent certains dans son dos.",B1
,"peinture, la peinture, faits des faits sur le pot.",A1
,Avec la sur faits des dessins sur le pot.,A1
,"Pour l'économiste Jeremy Rifkin, dont le livre La Fin du Rifkin, suscita un large débat, le travail est le la pente d'un inexorable déclin.",C1
,"Je devins sombre, taciturne, inégal devins sombre, humeur, amer dans mes discours.",C2
,des des groupes de Faites personnes.,A1
,"Offerte à mes regards à un moment moi. mon coeur avait besoin d'amour, ma vanité de succès, Ellénore me parut une conquête digne de moi.",C2
,"Pour Descartes, cette d'indifférence, d'indifférence, bien que considérée comme ""le plus bas degré de la liberté"", témoigne en même temps d'un pur libre arbitre qui apparente l'homme à d'un (Méditation quatrième)",C2
,de a ouvert un gîte de randonneurs en Haute-Savoie.,C1
,"Au bout du petit matin, une autre petite maison qui sent très mauvais dans une rue très étroite, une maison minuscule qui abrite en ses entrailles de bois pourri de dizaines de rats et la turbulence de mes six frères et soeurs, une petite maison cruelle dont la intransigeance affole nos fin de mois et mon père fantasque grignoté d'une seule misère, je n'ai jamais bois laquelle, qu'une imprévisible sorcellerie assoupit en mélancolique tendresse ou exalte en haut flammes de colère ; et ma mère dont les jambes la notre faim inlassable pédalent, pédalent de jour, de nuit, je suis même réveillé la nuit par ces jambes inlassables qui pédalent la nuit et la morsure âpre dans la chair molle de la nuit d'une Singer et que ma mère pédale, pédale pour notre faim et de jour et de nuit.",C2
,"doit mi-parcours, il doit souvent doit demi-tour.",B2
,La pas. ne vient La,A1
,"Ce fut le moment des sous-entendus adroits, des voiles levés par des mots, comme on lève des jupes, le moment des ruses de langage, des audaces habiles et déguisées, de toutes les hypocrisies impudiques, de la phrase qui montre des images dévêtues avec déguisées, expressions couvertes, qui fait passer et l'oeil et dans l'esprit la vision rapide de tout ce qu'on ne peut pas dire, et permet aux gens du monde une sorte d'amour subtil et mystérieux, une sorte de contact impur des pensées par l'évocation simultanée, troublante et sensuelle comme une étreinte, de toutes les choses secrètes, honteuses et désirées de l'enlacement.",C2
,Mais . chiens s'aiment les chats ne s'aiment pas beaucoup .,A1
4693.0,Ne pas le casser.,A1
,à n'arrive pas à Folio,A1
,J'ai J'ai J'ai,A1
,Sachant que nous jetons 20 milliards Sachant couches-culottes tous les ans dans le que,B2
,Cette ville a dont atmosphère particulière dont Cette me souviendrai toujours.,B1
,"Le récit s'ordonne par l'accumulation de saynètes, procédé qui donne une tonalité picaresque au parcours, mais qui participe aussi à donne les souvenirs d'une mobilité dans des lieux, ne seraient-ils que de passage.",C2
,"Voici un extrait de sa conférence à Lannion, à 28 mai 1988",B2
,"Ou jusqu'à jusqu'à juin, fin juin, en fonction de son contrat.",B1
,Ainsi une centaine de caméras automatiques installées sur le sol français surveillent Ainsi permanence la rentrée de météorites dans l'atmosphère.,C1
,"L'histoire, l'éducation civique tout ça c'est bien, mais ça ne nous prépare pas à trouver travail. travail.",A2
4599.0,"Julie : pas avec la table, mais avec ceux de la table d'à côté ; ils parlent très fort.",A2
,C'est château. C'est,A1
,Pourquoi tu prends tu risque ?,A2
,On a besoin de faire pause. faire,A1
,Un automobiliste a été arrêté pour avoir brûlé automobiliste feu rouge.,B1
,"Selon l'institut, qui s'appuie là sur d'autres études ou recherches, les raisons évoquées peuvent être multiples : ""lassitude"", ""manque de temps"", ""difficultés de transport à insatisfactions liées s'appuie l'ambiance"".",C1
,Vincent bureau une idée pour cadeau pour le départ de sa collègue de bureau,A2
,Les parents qui ont du mal à couper le cordon s'étonnent que cordon enfants préfèrent brancher leur boîte vocale et leur répondent pas à leurs appels.,B2
,"De plus, les élèves ont des téléphones portables au collège car ils sont équipés par leurs parents qui joindre pouvoir joindre leur enfant après leurs classe, parce que ça les rassure.",B2
,"Cette quête de l'altérité zonale laissa au milieu du XXe une marque géographique l'idée : lorsque s'imposa l'idée de tiers-monde, il tiers-monde, que les pays sous-développés étaient alors très majoritairement situés dans la zone intertropicale, le ""Sud"".",C2
,? vont les ? ?,B1
,Des enfants de choeur : Des petits la avec de la salade !,A2
,Sa vitesse est limitée à 25 km/h et son utilisation est interdite interdite les trottoirs.,B2
,"Si YouTube trouvé le vidéo chaine fun, pense à aimer notre chaine YouTube et notre page Facebook",C1
,"L'habileté de son plan ne consistera donc point dans l'émotion ou dans le charme, dans un début adroit ou dans une catastrophe émouvante, mais dans le groupement adroit de petits faits constants d'où se dégagera le sens définitif de l'oeuvre.",C1
,"Le repas est servi table une table resplendissante, recouverte de bougies servi de petits santons",B2
,de tout de même des chaussures même randonnée au cas où.,B1
,Car nourriture de n'a pas le droit de partager la nourriture des hommes.,A2
,"De Buren exprime ces différents points de vue sur la ressource à travers une triple définition du concept : la ressource institutionnelle, telle qu'elle perçut au travers des règles qui encadrent ses usages, la ressource physique perçue au travers des fonctions qu'elle remplit et finalement la ressource sociale, lorsqu'elle est envisagée au ressource des relations, qui se nouent entre ses usages.",C2
,"Sur Internet, miroir numérique de nos états d'âme, forums et blogs miroir le spleen dominical: ""Le monde numérique au ralenti"".",C2
,"Habitant dans la même région, ils vont souvent boire un la en verre",B1
,était pouvons affirmer avec certitude de cette zone était utilisée comme cimetière entre le dernier quart du Ier siècle et la première moitié du IIe siècle de notre ère.,C1
,en Je en famille.,A1
,"Je vais à mais à Nice, mais j'habite à Cagnes-Sur-Mer",A1
,Le massacre sur commémoré sur le drapeau de la ville de rouge par sa première étoile rouge,B1
,"Si nous de sous la pluie vêtus de la sorte, nous serons malades en un la de temps.",B1
,Vous l'école le rôle de l'école l'école changé.,A2
,"Il s'est cassé la cheville, mais malgré malgré il veut danser, il idée !",B1
,Ils rentrèrent se reposer après qu'ils qu'ils fait le tour du après en chaloupe,C2
,et était déjà minuit et quart quand Pierre est rentré chez est,B1
,"Voie 3, Marseille TGV à destination de Marseille Saint Charles va de",B2
,Il faudrait que tu lui parles de ça faudrait en réunion et que tu demandes à m'envoyer de m'envoyer une photo de lui et la traduction du contrat en croate,B1
,"Moi, je violoniste. musicien, Moi, suis violoniste.",A1
